filename,class_label,group_id,ai_probability,manipulationProbability,meanDifference,maxDifference,standardDeviation,edgeDensity,noiseMean,noiseStd,blurScore,sharpnessScore,blockSharpnessAverage,blockSharpnessStd
authentic\56696.jpg,Authentic,,0.0044,0.205,0.43,9,0.77,4.32,2.24,5.05,323.95,35.37,320.09,398.03
authentic\56703.jpg,Authentic,,0.0002,0.2538,0.38,10,0.7,2.53,1.84,4.47,256.4,31.96,262.86,296.76
authentic\56719.jpg,Authentic,,0.0,0.356,0.8,15,1.17,7.79,3.45,6.54,605.01,55.34,541.77,553.44
authentic\56766.jpg,Authentic,,0.0,0.1778,0.82,11,1.02,11.69,6.47,9.23,1440.69,79.72,1440.0,1096.77
authentic\56785.jpg,Authentic,,0.0,0.0952,0.59,22,0.86,4.93,3.25,4.94,462.42,38.21,463.71,1057.92
authentic\56799.jpg,Authentic,,0.0002,0.207,0.57,13,0.87,9.41,3.42,5.41,379.38,62.01,397.93,327.06
authentic\56823.jpg,Authentic,,0.0001,0.2305,0.44,11,0.76,4.02,1.95,4.24,211.96,36.05,197.75,319.39
authentic\56838.jpg,Authentic,,0.0055,0.2444,0.54,12,0.91,5.51,2.32,4.85,378.08,34.24,371.1,550.53
authentic\56928.jpg,Authentic,,0.005,0.4138,0.52,17,0.98,6.13,2.78,6.5,565.17,43.35,508.25,624.25
authentic\56972.jpg,Authentic,,0.0,0.2715,0.78,12,1.01,8.05,4.25,6.91,710.96,59.94,706.77,537.74
authentic\56993.jpg,Authentic,,0.0001,0.1635,0.46,10,0.75,2.86,1.56,3.3,132.25,34.23,135.56,194.25
authentic\57011.jpg,Authentic,,0.0,0.1827,1.0,18,1.2,14.29,6.98,9.14,1568.49,80.81,1629.76,790.44
authentic\57066.jpg,Authentic,,0.0001,0.2521,0.72,24,1.18,4.73,2.47,6.04,455.75,45.63,493.15,463.29
authentic\57095.jpg,Authentic,,0.0221,0.1096,0.36,4,0.51,3.71,2.44,2.97,125.92,45.59,123.43,82.77
authentic\57117.jpg,Authentic,,0.0,0.193,0.71,16,1.02,7.47,4.05,7.48,949.16,55.0,978.9,1327.69
authentic\57176.jpg,Authentic,,0.0,0.2578,0.82,17,1.31,9.59,6.94,12.82,2675.79,78.64,2713.92,2624.16
authentic\57204.jpg,Authentic,,0.003,0.4023,0.64,13,0.98,3.63,1.81,3.78,201.95,27.88,203.39,281.48
authentic\57211.jpg,Authentic,,0.0001,0.4827,0.79,20,1.52,10.07,6.79,14.01,3875.83,64.12,3910.27,5144.03
authentic\57235.jpg,Authentic,,0.0,0.3579,0.72,14,1.1,5.41,4.55,9.29,1999.35,46.75,1723.04,3883.91
authentic\57276.jpg,Authentic,,0.0088,0.2662,0.81,13,1.03,5.55,2.86,3.63,213.72,46.93,208.21,170.35
authentic\57303.jpg,Authentic,,0.0046,0.1138,0.33,20,0.84,3.21,1.85,5.39,417.94,38.17,431.77,1117.74
authentic\57331.jpg,Authentic,,0.0001,0.427,0.73,13,1.11,9.13,4.7,8.74,1273.27,57.02,1290.35,1391.6
authentic\57347.jpg,Authentic,,0.0004,0.1309,1.31,14,1.39,20.78,9.69,11.34,2891.0,122.49,2937.65,2306.45
authentic\57360.jpg,Authentic,,0.0,0.1723,0.87,14,1.06,11.07,5.8,8.14,1061.75,76.87,1082.96,658.39
authentic\57376.jpg,Authentic,,0.0,0.0989,1.16,12,1.15,27.65,8.7,8.78,1868.76,107.29,1884.45,748.3
authentic\57406.jpg,Authentic,,0.0,0.2447,1.04,17,1.25,12.72,6.47,9.59,1676.68,78.54,1705.54,1558.12
authentic\57428.jpg,Authentic,,0.0001,0.3629,0.8,11,1.17,10.71,5.93,9.74,1680.82,68.91,1682.64,1611.45
authentic\57457.jpg,Authentic,,0.0001,0.3499,0.48,17,0.83,4.01,1.89,4.16,186.41,41.16,189.04,196.15
authentic\57501.jpg,Authentic,,0.0,0.0905,1.26,13,1.21,11.02,5.27,5.86,887.27,62.97,986.55,1042.29
authentic\57579.jpg,Authentic,,0.0815,0.3392,0.49,11,0.76,3.73,2.26,3.95,227.29,35.82,230.79,200.27
authentic\57650.jpg,Authentic,,0.0,0.437,0.82,20,1.26,7.1,4.59,10.3,1572.67,63.32,1552.93,2159.49
authentic\57661.jpg,Authentic,,0.0001,0.2435,0.94,32,1.65,8.29,4.28,8.23,944.99,57.83,949.95,1041.57
authentic\57665.jpg,Authentic,,0.0002,0.0664,0.35,16,0.9,2.42,2.35,9.76,1538.29,24.09,1389.16,3658.35
authentic\57698.jpg,Authentic,,0.0001,0.0988,0.48,7,0.7,2.16,1.8,2.55,97.22,29.27,101.1,59.47
authentic\57808.jpg,Authentic,,0.0,0.334,0.44,12,0.81,3.66,2.2,5.45,479.61,32.3,472.13,681.5
authentic\57813.jpg,Authentic,,0.001,0.1608,0.79,12,0.93,11.06,5.61,7.09,878.12,75.45,842.59,550.94
authentic\57904.jpg,Authentic,,0.0002,0.3296,0.86,19,1.28,8.64,4.52,7.89,999.8,62.64,931.38,1009.53
authentic\57958.jpg,Authentic,,0.0001,0.2155,1.32,13,1.37,23.81,9.78,10.64,3009.05,106.4,3305.81,2084.4
authentic\57969.jpg,Authentic,,0.0,0.1974,1.11,17,1.25,15.05,6.79,7.89,1485.07,82.63,1543.6,1125.18
authentic\57974.jpg,Authentic,,0.0016,0.13,0.34,11,0.72,1.95,1.67,5.67,367.2,24.73,325.19,535.98
authentic\57988.jpg,Authentic,,0.0,0.3326,0.93,22,1.28,10.84,6.27,9.95,1775.85,71.06,1567.72,1255.45
authentic\57996.jpg,Authentic,,0.0071,0.1762,0.56,9,0.77,3.04,2.39,3.41,172.55,39.47,179.41,155.13
authentic\58022.jpg,Authentic,,0.0004,0.3901,0.72,16,1.08,7.79,4.28,8.25,1119.41,52.04,1142.12,1358.41
authentic\58068.jpg,Authentic,,0.0,0.1652,0.5,15,0.78,2.61,2.12,3.08,153.22,35.94,154.6,159.24
authentic\58079.jpg,Authentic,,0.0003,0.0989,1.32,14,1.38,19.4,9.3,9.68,2376.63,109.61,2420.35,1619.9
authentic\58220.jpg,Authentic,,0.0,0.2461,1.04,20,1.36,14.44,6.96,10.17,2074.77,82.82,2074.85,1994.91
authentic\58256.jpg,Authentic,,0.0009,0.1815,0.54,9,0.8,6.2,2.56,4.17,227.34,42.77,216.32,211.8
authentic\58329.jpg,Authentic,,0.0001,0.257,0.46,11,0.81,3.96,2.26,5.48,389.91,41.91,375.61,540.11
authentic\58359.jpg,Authentic,,0.0001,0.2757,0.72,16,1.02,9.31,4.78,7.82,1036.17,63.06,1051.02,1094.86
authentic\58400.jpg,Authentic,,0.0,0.415,0.63,19,0.97,8.54,4.55,7.63,861.52,58.01,812.25,698.63
authentic\58424.jpg,Authentic,,0.0025,0.2787,0.52,10,0.84,4.56,2.06,4.13,256.26,34.93,262.01,399.07
authentic\58540.jpg,Authentic,,0.0012,0.2059,0.82,15,1.04,8.9,4.22,7.14,776.47,63.74,812.42,699.97
authentic\58673.jpg,Authentic,,0.0001,0.2378,1.26,21,1.44,15.24,8.44,10.6,2430.56,94.03,2255.62,1536.64
authentic\58705.jpg,Authentic,,0.0,0.0152,0.28,12,0.66,1.69,1.41,4.48,241.91,18.91,248.39,472.49
authentic\58742.jpg,Authentic,,0.0,0.3685,0.71,16,1.09,6.44,2.83,5.53,443.13,40.27,450.95,433.86
authentic\58761.jpg,Authentic,,0.0,0.1043,0.44,8,0.71,3.18,1.56,2.69,83.73,31.74,89.22,48.99
authentic\58767.jpg,Authentic,,0.0025,0.3314,0.6,18,1.07,4.89,2.84,6.35,602.88,38.03,624.76,542.43
authentic\58768.jpg,Authentic,,0.381,0.4067,1.21,16,1.55,16.19,8.69,12.05,3955.03,87.54,3666.44,3509.07
authentic\58785.jpg,Authentic,,0.1232,0.1687,0.24,5,0.46,3.43,1.7,3.43,109.8,38.14,117.71,114.58
authentic\58867.jpg,Authentic,,0.0004,0.4696,0.58,12,1.03,8.69,4.7,10.3,1524.47,58.16,1551.86,2714.81
authentic\58894.jpg,Authentic,,0.0049,0.3506,0.4,13,0.8,3.4,1.94,5.33,409.26,29.66,377.09,443.64
authentic\58955.jpg,Authentic,,0.0004,0.1307,0.68,12,0.9,5.81,2.72,4.0,188.6,54.32,213.82,241.36
authentic\58964.jpg,Authentic,,0.0004,0.3052,0.4,11,0.76,3.29,1.69,3.98,215.42,26.31,220.87,280.42
authentic\58969.jpg,Authentic,,0.0003,0.2975,1.45,37,1.72,13.59,7.58,11.26,2407.19,91.99,2455.12,1803.8
authentic\58994.jpg,Authentic,,0.0,0.216,0.82,15,1.07,9.97,4.85,7.57,939.1,66.4,974.87,543.9
authentic\59066.jpg,Authentic,,0.0064,0.1348,0.32,6,0.56,3.83,2.21,4.11,215.03,39.53,201.49,253.35
authentic\59099.jpg,Authentic,,0.0,0.1643,1.57,26,1.64,22.42,10.8,11.82,3622.8,124.11,3668.76,1592.2
authentic\59119.jpg,Authentic,,0.0003,0.2968,0.54,13,0.9,5.38,2.53,5.0,353.18,41.57,321.24,373.05
authentic\59135.jpg,Authentic,,0.0,0.1145,0.39,11,0.77,3.82,1.67,3.76,176.13,29.82,174.31,301.19
authentic\59141.jpg,Authentic,,0.0002,0.2557,1.09,19,1.4,7.99,3.83,6.73,626.01,56.95,642.11,575.91
authentic\59143.jpg,Authentic,,0.0002,0.3457,0.8,18,1.42,8.41,4.17,8.48,993.11,63.86,1089.15,1234.96
authentic\59163.jpg,Authentic,,0.0005,0.2371,1.79,22,1.82,23.74,12.94,14.41,6402.63,123.99,6357.75,4605.69
authentic\59220.jpg,Authentic,,0.0,0.183,1.31,20,1.43,19.22,10.77,13.43,3284.7,128.04,3333.37,1832.68
authentic\59234.jpg,Authentic,,0.0006,0.1875,0.49,12,0.94,4.96,2.52,5.97,520.48,34.52,531.13,666.37
authentic\59239.jpg,Authentic,,0.0143,0.2641,0.38,8,0.67,3.07,1.87,3.52,165.93,29.85,159.47,144.85
authentic\59241.jpg,Authentic,,0.0,0.4032,0.44,9,0.79,3.03,1.76,3.89,178.48,30.76,169.55,194.39
authentic\59245.jpg,Authentic,,0.0003,0.241,0.47,9,0.75,3.26,2.0,3.69,210.71,31.74,190.16,233.75
authentic\59270.jpg,Authentic,,0.0002,0.1698,0.61,23,0.87,8.74,4.97,7.82,815.5,63.78,843.27,524.43
authentic\59316.jpg,Authentic,,0.0,0.3453,0.68,26,1.11,5.24,3.17,8.22,1059.74,48.72,1050.82,2443.1
authentic\59322.jpg,Authentic,,0.9995,0.0167,0.28,13,0.81,4.04,1.71,5.13,326.83,23.27,331.76,582.62
authentic\59323.jpg,Authentic,,0.0,0.2855,0.49,10,0.82,3.92,2.16,4.79,308.65,35.26,312.28,460.88
authentic\59346.jpg,Authentic,,0.0003,0.2833,0.42,8,0.66,4.06,2.54,3.72,250.32,34.07,229.03,296.71
authentic\59348.jpg,Authentic,,0.0,0.1429,1.23,18,1.5,15.84,8.77,11.87,2795.27,104.59,3109.42,2134.01
authentic\59355.jpg,Authentic,,0.0043,0.2374,0.75,12,0.99,8.25,5.07,7.47,951.31,70.25,988.54,1250.75
authentic\59385.jpg,Authentic,,0.0001,0.2864,0.39,10,0.73,1.63,1.51,2.76,95.6,26.39,97.01,86.37
authentic\59447.jpg,Authentic,,0.001,0.2034,0.43,13,0.76,3.76,2.68,5.88,492.6,38.6,513.61,556.04
authentic\59500.jpg,Authentic,,0.0002,0.2718,0.77,13,0.99,9.21,5.29,7.41,823.72,74.15,815.15,462.53
authentic\59506.jpg,Authentic,,0.0001,0.1873,0.45,11,0.9,6.4,3.18,6.94,836.31,39.99,903.46,1315.01
authentic\59508.jpg,Authentic,,0.0055,0.3474,0.35,10,0.76,3.42,1.78,5.04,335.51,27.05,336.64,477.72
authentic\59513.jpg,Authentic,,0.0031,0.4044,0.81,15,1.19,11.37,4.0,6.49,777.23,49.23,726.7,713.72
authentic\59542.jpg,Authentic,,0.0,0.5193,0.47,11,0.88,3.95,2.77,6.88,708.66,40.02,646.22,619.75
authentic\59577.jpg,Authentic,,0.0,0.2516,0.49,8,0.75,5.22,2.35,4.2,188.82,44.47,201.45,152.0
authentic\59583.jpg,Authentic,,0.0,0.1326,0.84,11,0.92,9.42,5.16,5.73,664.42,67.35,653.62,367.47
authentic\59598.jpg,Authentic,,0.0872,0.1176,0.33,8,0.61,2.49,1.39,2.9,111.51,29.1,103.11,206.29
authentic\59599.jpg,Authentic,,0.0,0.486,1.04,20,1.62,10.95,5.16,9.31,1717.61,64.81,1649.92,2100.46
authentic\59634.jpg,Authentic,,0.0095,0.2005,0.48,11,0.81,3.71,1.97,4.88,283.35,42.91,310.15,520.69
authentic\59668.jpg,Authentic,,0.0002,0.0175,0.16,10,0.55,1.26,0.95,5.06,315.77,13.39,321.26,904.94
authentic\59669.jpg,Authentic,,0.0008,0.1442,0.33,9,0.68,2.93,1.69,4.04,219.76,25.92,223.32,254.06
authentic\59687.jpg,Authentic,,0.0238,0.2596,1.39,23,1.58,20.1,10.28,13.02,3527.67,129.61,3644.15,2793.74
authentic\59712.jpg,Authentic,,0.0,0.2711,0.48,10,0.8,4.32,2.77,5.5,400.51,43.64,388.79,336.27
authentic\59716.jpg,Authentic,,0.0002,0.4504,0.75,20,1.13,7.2,4.19,7.51,875.89,57.59,792.36,732.33
authentic\59771.jpg,Authentic,,0.0,0.4208,0.76,18,1.2,5.7,3.26,7.06,836.95,43.78,845.9,1043.58
authentic\59827.jpg,Authentic,,0.0001,0.2582,0.5,25,0.97,3.72,2.07,4.66,281.16,37.34,255.3,300.59
authentic\59833.jpg,Authentic,,0.0,0.2835,0.38,8,0.69,2.91,1.53,3.58,138.03,30.61,144.08,157.2
authentic\59838.jpg,Authentic,,0.0,0.365,0.49,12,0.88,4.37,2.26,5.39,438.75,33.8,433.39,327.84
authentic\59851.jpg,Authentic,,0.0002,0.4676,0.61,15,1.03,5.91,3.7,8.33,1053.86,47.6,951.34,1314.13
authentic\59890.jpg,Authentic,,0.0001,0.2499,0.41,13,0.74,2.39,1.35,3.03,96.51,25.89,99.54,89.72
authentic\59894.jpg,Authentic,,0.0,0.1001,0.54,8,0.8,3.81,1.79,3.1,108.16,37.81,117.32,102.86
authentic\59938.jpg,Authentic,,0.0001,0.58,0.76,22,1.28,5.78,3.66,7.86,867.68,43.15,828.73,824.52
authentic\59939.jpg,Authentic,,0.0,0.2899,1.08,24,1.49,14.66,8.82,14.08,3075.66,103.51,3189.06,1881.66
authentic\59949.jpg,Authentic,,0.0001,0.2572,1.3,18,1.49,17.08,8.95,11.91,3121.26,109.4,3523.12,3101.16
authentic\59963.jpg,Authentic,,0.0012,0.2739,0.34,7,0.59,3.1,1.77,3.34,127.68,33.29,140.45,125.29
authentic\59993.jpg,Authentic,,0.0,0.3797,0.55,16,1.12,5.46,3.44,8.17,871.23,48.05,848.47,1555.0
authentic\60118.jpg,Authentic,,0.0001,0.2357,0.42,14,0.77,3.95,2.18,4.56,275.41,34.56,286.04,316.08
authentic\60121.jpg,Authentic,,0.0001,0.104,1.07,18,1.21,15.52,7.93,9.74,1926.81,92.59,1967.89,867.91
authentic\60140.jpg,Authentic,,0.0001,0.2656,0.4,10,0.84,3.37,2.87,7.82,726.69,41.96,751.45,599.47
authentic\60264.jpg,Authentic,,0.0001,0.3394,0.49,16,0.86,5.4,3.22,7.83,764.4,42.88,664.91,896.27
authentic\60268.jpg,Authentic,,0.0128,0.2329,0.94,12,1.19,9.68,4.58,6.31,726.85,70.96,736.53,694.94
authentic\60279.jpg,Authentic,,0.001,0.3376,0.81,16,1.28,8.71,5.95,12.13,2733.36,74.03,2729.98,2979.73
authentic\60329.jpg,Authentic,,0.0016,0.2267,0.32,6,0.6,2.0,1.14,2.15,44.01,28.21,41.71,37.29
authentic\60376.jpg,Authentic,,0.0,0.1187,1.53,17,1.54,23.74,10.18,10.75,3239.55,109.45,3287.43,1299.11
authentic\60407.jpg,Authentic,,0.0001,0.3908,0.53,18,0.91,4.04,2.39,4.67,327.91,35.5,331.34,425.51
authentic\60412.jpg,Authentic,,0.0,0.2434,0.66,18,1.07,6.38,3.62,7.46,884.23,56.45,827.33,919.95
authentic\60430.jpg,Authentic,,0.0,0.5586,0.69,18,1.13,7.76,4.42,9.25,1329.16,55.52,1355.5,1599.72
authentic\60503.jpg,Authentic,,0.0001,0.2051,0.43,7,0.69,4.52,1.99,3.78,146.21,39.46,136.19,154.39
authentic\60542.jpg,Authentic,,0.0,0.2622,0.67,20,1.01,7.0,3.61,6.14,510.79,55.84,501.76,578.42
authentic\60557.jpg,Authentic,,0.0,0.3825,0.52,10,0.82,7.3,4.93,9.25,1169.73,57.55,1040.12,1239.54
authentic\60574.jpg,Authentic,,0.0006,0.2339,1.24,13,1.46,20.43,12.26,14.91,4920.83,137.09,4546.14,4205.68
authentic\60622.jpg,Authentic,,0.0003,0.1749,0.49,10,0.8,7.99,3.24,5.77,464.26,50.48,445.97,391.15
authentic\60632.jpg,Authentic,,0.0001,0.2048,0.52,12,0.81,5.8,2.95,5.04,424.5,42.54,425.58,445.48
authentic\60651.jpg,Authentic,,0.0004,0.206,0.59,17,1.24,7.0,3.85,9.42,1429.5,43.57,1428.46,1688.11
authentic\60661.jpg,Authentic,,0.0001,0.1584,0.76,16,0.98,11.62,5.59,7.91,1087.61,69.6,1012.55,974.9
authentic\60666.jpg,Authentic,,0.0006,0.2071,0.5,13,0.93,3.1,2.74,8.4,787.98,41.34,808.07,1589.06
authentic\60704.jpg,Authentic,,0.0,0.1989,1.39,17,1.51,15.19,7.43,9.51,1764.02,93.39,1659.13,1492.53
authentic\60708.jpg,Authentic,,0.0002,0.1009,0.4,15,0.85,3.37,1.77,5.23,388.78,31.13,337.72,741.19
authentic\60785.jpg,Authentic,,0.0,0.3187,0.47,18,0.88,3.16,1.65,3.39,159.3,25.08,175.84,210.31
authentic\60788.jpg,Authentic,,0.0,0.1704,0.66,11,0.87,6.18,3.42,5.03,425.08,48.71,424.14,443.08
authentic\60836.jpg,Authentic,,0.0006,0.0773,0.78,10,0.97,5.04,2.31,3.24,140.0,45.91,140.25,125.7
authentic\60910.jpg,Authentic,,0.0003,0.2784,0.53,10,0.77,5.37,2.95,4.91,295.58,46.77,283.66,205.89
authentic\60912.jpg,Authentic,,0.0001,0.3239,0.74,21,1.27,6.67,4.28,9.31,1193.93,50.35,1103.97,2051.71
authentic\60958.jpg,Authentic,,0.0,0.119,0.56,13,0.81,2.64,1.56,3.34,140.51,34.53,129.49,225.49
authentic\61017.jpg,Authentic,,0.0002,0.367,0.55,11,0.96,10.02,4.04,7.5,829.87,60.62,807.82,893.98
authentic\61025.jpg,Authentic,,0.0,0.1362,1.21,26,1.49,12.35,5.63,7.54,865.5,83.76,876.77,659.92
authentic\61032.jpg,Authentic,,0.0799,0.4467,0.39,10,0.83,4.93,2.34,6.02,494.33,32.73,510.74,696.34
authentic\61060.jpg,Authentic,,0.0,0.1941,0.91,20,1.12,8.5,5.47,8.41,1158.16,73.74,1179.44,1227.48
authentic\61074.jpg,Authentic,,0.0002,0.3523,0.93,13,1.2,12.63,8.6,13.04,2692.82,108.98,2802.61,1891.8
authentic\61101.jpg,Authentic,,0.0,0.1276,1.05,22,1.35,14.42,8.45,12.37,2587.16,102.44,2612.98,1299.13
authentic\61136.jpg,Authentic,,0.0003,0.466,0.75,15,1.33,8.68,6.1,12.95,3014.54,68.17,2823.31,3339.39
authentic\61174.jpg,Authentic,,0.0073,0.2518,1.47,28,1.72,17.68,9.62,12.69,2751.56,122.65,2758.62,1634.42
authentic\61190.jpg,Authentic,,0.0002,0.1389,1.42,25,1.69,17.45,9.59,11.58,2498.82,117.16,2618.65,1160.41
authentic\61213.jpg,Authentic,,0.0,0.129,1.2,30,1.36,14.24,6.81,7.73,1478.05,75.58,1502.43,1034.66
authentic\61253.jpg,Authentic,,0.001,0.2382,0.69,11,0.95,7.71,4.34,7.11,815.49,54.88,869.01,706.69
authentic\61270.jpg,Authentic,,0.2348,0.3785,0.71,16,1.11,6.85,4.97,10.19,1303.55,67.29,1189.81,1195.24
authentic\61274.jpg,Authentic,,0.3808,0.2211,0.43,18,0.85,3.79,2.25,4.22,250.31,30.44,257.39,328.92
authentic\61283.jpg,Authentic,,0.006,0.2234,0.4,7,0.67,3.32,1.67,3.16,108.92,34.55,115.41,110.54
authentic\61328.jpg,Authentic,,0.0005,0.2035,0.49,8,0.76,3.88,1.88,3.71,178.51,34.06,160.34,218.25
authentic\61350.jpg,Authentic,,0.0001,0.3229,0.67,15,1.11,8.22,4.65,9.25,1269.74,60.02,1294.02,1830.26
authentic\61407.jpg,Authentic,,0.0,0.4595,0.59,17,1.08,6.81,3.89,8.14,856.22,50.76,885.06,818.64
authentic\61420.jpg,Authentic,,0.0077,0.2335,0.37,6,0.68,2.69,1.4,2.73,86.68,25.21,92.22,88.41
authentic\61422.jpg,Authentic,,0.3148,0.0792,0.59,7,0.71,7.05,4.45,5.45,451.02,65.23,465.18,263.46
authentic\61424.jpg,Authentic,,0.0,0.2346,0.9,15,1.08,9.88,4.67,7.03,682.27,74.25,692.45,542.42
authentic\61448.jpg,Authentic,,0.0,0.2057,1.92,24,2.0,19.63,18.12,23.05,11912.05,175.98,10752.55,8252.55
authentic\61462.jpg,Authentic,,0.0,0.4387,0.51,17,0.97,5.51,2.37,4.99,358.06,36.33,328.85,418.47
authentic\61575.jpg,Authentic,,0.0001,0.2545,0.31,11,0.73,3.21,1.7,4.7,310.62,25.41,315.12,594.86
authentic\61586.jpg,Authentic,,0.0,0.4177,0.42,8,0.7,3.53,1.83,3.17,133.15,33.6,135.84,132.48
authentic\61612.jpg,Authentic,,0.0001,0.1917,1.08,13,1.19,16.97,8.11,9.83,1981.22,93.31,2007.6,1324.29
authentic\61620.jpg,Authentic,,0.0003,0.061,0.57,23,1.12,7.44,2.84,6.6,599.68,43.45,544.46,1209.37
authentic\61636.jpg,Authentic,,0.0001,0.3338,0.56,11,0.83,4.43,3.41,5.71,532.35,42.16,531.87,767.73
authentic\61756.jpg,Authentic,,0.0181,0.4073,0.73,15,1.16,7.4,3.81,8.11,970.25,59.11,907.33,998.8
authentic\61768.jpg,Authentic,,0.0,0.1504,0.41,11,0.74,4.48,2.19,4.45,227.34,40.12,236.07,347.26
authentic\61874.jpg,Authentic,,0.0,0.2532,0.43,14,0.85,4.8,2.17,5.35,349.95,36.64,323.58,490.25
authentic\61953.jpg,Authentic,,0.0002,0.2908,1.06,19,1.35,11.29,5.15,8.4,1189.96,80.77,1223.91,1426.22
authentic\62163.jpg,Authentic,,0.0,0.4175,1.09,31,2.2,6.19,5.3,12.88,2656.23,59.51,2455.23,4242.14
authentic\62206.jpg,Authentic,,0.0778,0.0333,0.04,10,0.22,0.14,0.2,1.26,15.99,3.16,16.1,71.11
authentic\62207.jpg,Authentic,,0.0008,0.3154,0.57,15,0.83,4.19,2.38,3.64,185.61,42.93,169.53,133.93
authentic\62238.jpg,Authentic,,0.0012,0.2596,0.95,18,1.25,11.81,4.88,6.96,856.78,76.28,781.29,1006.6
authentic\62244.jpg,Authentic,,0.0,0.1283,1.73,19,1.61,27.2,12.97,13.14,4721.64,136.97,4795.25,1783.29
authentic\62278.jpg,Authentic,,0.0005,0.1308,0.79,13,1.17,10.75,5.56,9.47,1442.7,77.66,1493.63,1650.48
authentic\62328.jpg,Authentic,,0.0,0.2206,0.85,17,1.27,10.45,5.42,9.21,1583.5,62.16,1614.04,1821.75
authentic\62425.jpg,Authentic,,0.0001,0.2017,1.06,15,1.32,14.05,7.82,11.04,2315.99,91.73,2310.13,1411.56
authentic\62557.jpg,Authentic,,0.0001,0.2275,0.56,9,0.79,4.13,2.0,3.38,158.38,41.63,167.25,183.11
authentic\62579.jpg,Authentic,,0.0032,0.4399,0.55,11,0.91,4.59,2.69,7.09,671.05,40.54,635.85,1568.65
authentic\62585.jpg,Authentic,,0.0,0.2807,0.61,12,0.88,9.01,3.35,6.08,500.92,67.15,524.05,488.33
authentic\62638.jpg,Authentic,,0.0048,0.1839,1.45,15,1.48,17.08,9.52,10.5,3773.78,86.63,3839.19,3178.43
authentic\62643.jpg,Authentic,,0.006,0.3194,0.73,14,1.09,10.36,4.86,8.56,1394.03,60.25,1415.53,1463.04
authentic\62680.jpg,Authentic,,0.001,0.2453,0.39,8,0.69,2.99,2.75,6.49,446.39,35.31,452.52,487.64
authentic\62755.jpg,Authentic,,0.0,0.2304,0.81,12,1.01,6.98,2.58,3.13,124.35,61.21,137.82,96.93
authentic\62788.jpg,Authentic,,0.0073,0.1269,0.48,8,0.73,2.68,1.76,3.18,115.57,34.6,136.59,148.5
authentic\62791.jpg,Authentic,,0.0004,0.1232,0.8,13,1.04,11.97,5.83,8.77,1459.98,84.55,1447.34,1433.72
authentic\62881.jpg,Authentic,,0.0001,0.2198,0.52,13,0.87,6.07,3.2,6.82,594.33,52.3,612.92,695.48
authentic\62892.jpg,Authentic,,0.0537,0.2165,1.14,11,1.22,15.12,6.81,8.26,1554.13,78.3,1720.02,898.75
authentic\62898.jpg,Authentic,,0.0023,0.1497,0.6,18,0.96,4.98,2.68,5.48,426.87,54.46,436.29,900.95
authentic\62913.jpg,Authentic,,0.001,0.2867,0.55,10,0.82,7.78,3.71,5.99,564.12,49.12,579.24,477.54
authentic\62977.jpg,Authentic,,0.0572,0.2372,0.72,25,1.33,11.43,5.44,10.5,2073.54,55.28,2112.05,2350.85
authentic\63103.jpg,Authentic,,0.0002,0.1468,1.02,19,1.31,12.14,6.19,8.94,1478.94,80.79,1515.87,1275.06
authentic\63142.jpg,Authentic,,0.0,0.2515,0.53,9,0.8,4.85,2.95,5.29,373.07,48.21,382.09,263.01
authentic\63282.jpg,Authentic,,0.0003,0.2645,0.49,10,0.77,4.42,2.65,4.83,310.05,35.47,290.32,310.14
authentic\63300.jpg,Authentic,,0.0,0.2772,0.68,11,0.94,7.85,3.78,6.76,635.37,60.05,606.29,681.9
authentic\63308.jpg,Authentic,,0.0004,0.2345,0.76,14,1.1,9.66,4.44,7.78,1293.03,58.73,1224.44,2268.98
authentic\63335.jpg,Authentic,,0.0001,0.3439,0.62,12,0.93,4.2,2.54,5.93,435.54,44.41,525.73,824.49
authentic\63408.jpg,Authentic,,0.0069,0.1893,0.54,9,0.8,1.38,1.1,2.37,61.06,30.13,62.91,79.33
authentic\63409.jpg,Authentic,,0.0003,0.4168,0.81,15,1.13,11.51,5.79,9.87,1357.47,84.34,1413.17,1409.13
authentic\63427.jpg,Authentic,,0.0004,0.2742,0.72,26,1.27,7.59,3.49,7.0,641.77,51.85,657.55,621.15
authentic\63481.jpg,Authentic,,0.001,0.2127,0.7,9,0.87,17.2,5.33,6.86,700.49,65.5,682.67,425.48
authentic\63491.jpg,Authentic,,0.0004,0.3991,0.31,14,0.79,3.07,1.88,5.82,446.29,26.35,461.83,677.69
authentic\63638.jpg,Authentic,,0.0,0.2735,1.06,20,1.42,11.35,6.34,9.79,1757.34,73.55,1794.96,1522.62
authentic\63862.jpg,Authentic,,0.0186,0.017,0.29,10,0.69,3.37,1.32,3.93,177.99,23.26,181.57,284.04
authentic\63986.jpg,Authentic,,0.0001,0.2272,0.49,11,0.82,3.2,1.3,2.93,99.21,24.9,101.24,112.88
authentic\63995.jpg,Authentic,,0.0007,0.1027,0.37,8,0.62,2.94,2.47,4.35,294.52,33.6,299.88,343.66
authentic\64015.jpg,Authentic,,0.0001,0.3318,0.3,7,0.63,1.47,0.85,2.35,45.01,20.0,48.85,45.89
authentic\64052.jpg,Authentic,,0.0,0.3364,0.99,19,1.3,14.71,6.99,9.75,1720.28,89.36,1640.93,1258.27
authentic\64320.jpg,Authentic,,0.0002,0.2401,0.67,24,1.07,6.03,3.95,7.26,876.91,51.21,868.44,542.92
